,beta_age,beta_failures,beta_Medu,beta_absences,beta_G2,beta_sex_M,beta_higher_yes,beta_intercept,missing_higher_yes_0,missing_higher_yes_1,missing_higher_yes_2,missing_higher_yes_3,missing_higher_yes_4,missing_higher_yes_5,missing_higher_yes_6,missing_higher_yes_7,missing_higher_yes_8,missing_higher_yes_9,missing_higher_yes_10,missing_higher_yes_11,missing_higher_yes_12,missing_higher_yes_13,missing_higher_yes_14,missing_higher_yes_15,missing_higher_yes_16,missing_higher_yes_17,missing_higher_yes_18,missing_absences_0,missing_absences_1,missing_absences_2,missing_absences_3,missing_absences_4,missing_absences_5,missing_absences_6,missing_absences_7,missing_absences_8,missing_absences_9,missing_absences_10,missing_absences_11,missing_absences_12,missing_absences_13,missing_absences_14,missing_absences_15,missing_absences_16,sigmas2,alpha0,alphas1,gammas0,gammas1
0,-0.08148218257964182,-0.4537084503182127,0.07708274637640376,0.045030082933700484,1.0467045052766222,0.1321531087820516,0.06070512342055712,0.22242943627685482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,8.0,4.0,5.0,2.0,4.0,4.0,9.0,6.0,5.0,7.0,7.0,6.0,4.0,8.0,8.0,3.900926668073462,5.294065828352128,2.128379578760005,0.6804867138080537,0.05810256602571502
1,-0.28320214856412584,0.04988586844340481,-0.058551014852324966,0.05468036853903073,1.1181356356146495,0.21423140280769631,0.21590512230840556,2.6910418026182628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,4.0,6.0,2.0,2.0,5.0,4.0,6.0,2.0,4.0,8.0,7.0,4.0,5.0,7.0,3.8654148531805634,5.294065828352128,2.128379578760005,0.4518441783821858,0.05810256602571502
2,-0.23236216759394643,-0.21793552701046776,-0.027537914204924387,0.03610141091526356,1.037282312463263,0.011669686520779932,0.35734678382741025,2.7566391408246913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,6.0,2.0,3.7123593771325654,5.294065828352128,2.128379578760005,-0.16228800276778554,0.05810256602571502
3,-0.10738593154633784,-0.22114761196007227,-0.028489848865812625,0.04358141712118135,1.1014892742001483,0.42882708727835483,0.8484592054334997,-0.6495652127732585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,9.0,4.0,5.0,3.0,6.0,4.0,5.0,0.0,6.0,5.0,2.0,3.0,6.0,6.0,3.0,3.508527556971503,5.294065828352128,2.128379578760005,0.34772470047978626,0.05810256602571502
4,-0.08578318912971339,-0.12377631382093306,0.04974941917288828,0.03775462484140406,1.0905767790581642,0.1264794103888293,0.03826138446168596,-0.057239919852195675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,3.0,5.0,8.0,6.0,5.0,6.0,7.0,8.0,3.970847115268844,5.294065828352128,2.128379578760005,0.6741696197346815,0.05810256602571502
5,0.05178539465988019,-0.23700840538940704,0.10107960457418878,0.03919844217099938,1.0786384782311158,0.30403586582949077,0.5040337361510698,-3.031257533475331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,5.0,2.0,9.0,2.0,7.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,6.0,5.0,3.3978213217628728,5.294065828352128,2.128379578760005,-0.2622407962135485,0.05810256602571502
6,-0.01712380568557713,-0.20716698620068352,-0.040227821382668824,0.053947892337932665,1.119981823979522,0.15275080206413244,0.13474179573934586,-1.5869071075059455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.674294970096043,5.294065828352128,2.128379578760005,-0.2717666598448044,0.05810256602571502
7,-0.09218749849563715,-0.17621753618347413,-0.04258012307208604,0.04823225451966036,1.060266396552465,0.35291760891586565,0.39934306136926206,-0.03588212970308735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0,1.0,4.0,3.934286162984173,5.294065828352128,2.128379578760005,-0.2717666598448044,0.05647778075484286
8,-0.2477282731130521,-0.18471719657308389,0.01705137606803954,0.05111533720116996,1.0946037770841996,0.0049964556931118564,-0.04699817641980411,2.7912069701105007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,2.0,0.0,2.0,4.0,4.0,5.0,2.0,5.0,2.0,1.0,0.0,1.0,4.0,2.0,3.612859133995496,5.294065828352128,2.128379578760005,0.02139408319692275,0.05647778075484286
9,-0.27321839079705784,-0.31308711397059713,-0.026876090983499964,0.06494994373995663,1.0843871258412936,0.04928892221125905,0.4527531811527267,2.7170694024759845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,6.0,5.0,2.0,4.0,3.0,2.0,3.0,6.0,3.0,2.0,3.0,3.9727600007264496,5.294065828352128,2.128379578760005,-0.04427952348911553,0.05647778075484286
